#Locus	Reads	Rep-total	DicerCall
Chr1:19-329	7	7.000	23
Chr1:761-950	50	49.335	24
Chr1:1388-1403	8	3.222	N
Chr1:11909-11927	5	2.167	N
Chr1:17941-18899	14	5.650	24
Chr1:21001-21017	35	16.268	N
Chr1:28012-28122	15	5.083	N
Chr1:28517-28686	5	5.000	21
Chr1:34170-34187	47	36.434	N
Chr1:42224-42449	6	4.333	24
Chr1:44676-44859	131	49.243	24
Chr1:48771-48796	6	4.583	N
Chr1:50520-50623	12	10.333	N
Chr1:55697-55954	14	6.460	24
Chr1:56409-56598	9	9.000	N
Chr1:65397-65411	0	0.000	N
Chr1:66773-66787	0	0.000	N
Chr1:71704-71719	0	0.000	N
Chr1:76819-77535	73	51.166	24
Chr1:78898-79065	431	240.929	21
Chr1:81749-81774	105	33.863	N
Chr1:88584-88599	4	0.928	N
Chr1:111889-111961	279	258.214	N
Chr1:117425-117439	3	0.750	N
Chr1:128509-128523	15	14.000	N
Chr1:135620-135715	0	0.000	N
Chr1:141927-141944	3	1.433	N
Chr1:144772-144788	29	8.445	N
Chr1:159259-159279	5	1.710	N
Chr1:166840-167051	20	9.282	N
Chr1:169214-169228	1	0.200	N
Chr1:172433-172433	0	0.000	N
Chr1:172715-172737	2	1.250	N
Chr1:175970-175985	13	4.025	N
Chr1:176706-176722	16	7.250	N
Chr1:179593-179607	0	0.000	N
Chr1:183975-183989	1	0.500	N
Chr1:185338-185353	7	4.200	N
Chr1:193508-193560	1	1.000	24
Chr1:196144-196158	5	1.666	N
Chr1:201283-201289	1	1.000	N
Chr1:207178-207192	99	32.789	N
Chr1:210653-210667	32	28.416	N
Chr1:213576-213644	0	0.000	N
Chr1:222837-222853	6	1.911	N
Chr1:234010-234155	2	2.000	21
Chr1:238306-238548	11	11.000	24
Chr1:238844-239313	53	48.834	24
Chr1:241303-241318	3	1.333	N
Chr1:251277-251293	3	0.420	N
Chr1:253791-253806	11	4.250	N
Chr1:255889-255906	1	1.000	23
Chr1:256157-256278	1	0.111	24
Chr1:256610-256661	0	0.000	N
Chr1:257690-258677	53	12.397	24
Chr1:266007-266022	26	11.281	N
Chr1:271223-271240	33	10.715	N
Chr1:283850-283864	0	0.000	N
Chr1:290040-290045	1	1.000	N
Chr1:290618-290633	18	5.999	N
Chr1:291876-292514	110	58.113	N
Chr1:294207-294221	3	3.000	N
Chr1:298360-298380	161	61.937	N
Chr1:304558-304572	6	5.250	N
Chr1:306384-306455	17	2.608	N
Chr1:309256-309347	43	4.330	N
Chr1:315479-315494	1	1.000	N
Chr1:337361-337376	2	1.200	N
Chr1:345579-345594	8	1.886	N
Chr1:365855-365869	3	1.100	N
Chr1:372396-372720	32	31.002	24
Chr1:374690-374704	0	0.000	N
Chr1:376759-376774	0	0.000	N
Chr1:381415-381429	14	5.219	N
Chr1:388114-388129	0	0.000	N
Chr1:390052-390069	19	7.000	N
Chr1:399623-399637	1	0.100	N
Chr1:402333-402347	3	1.000	N
Chr1:413769-413784	0	0.000	N
Chr1:422895-422917	0	0.000	N
Chr1:423147-424290	26	10.065	24
Chr1:428068-428144	0	0.000	N
Chr1:431304-431703	21	18.310	24
Chr1:431906-432244	21	12.506	24
Chr1:432469-433828	55	23.645	24
Chr1:442817-442831	4	2.000	N
Chr1:451038-451052	2	1.143	N
Chr1:453847-453861	0	0.000	N
Chr1:457238-457253	0	0.000	N
